station_naptan,naptan_id,ics_code,name,zone,lat,lon,modes
940GZZDLBNK,9400ZZDLBNK,1000013,Bank DLR Station,1,51.513233,-0.088515,dlr
940GZZLUBNK,9400ZZLUBNK,1000013,Bank Underground Station,1,51.51342,-0.088954,tube
930GSWK,4900SWK0,1002007,Bankside Pier,,51.50839,-0.09634,river-bus
940GZZLUBBN,4900ZZLUBBN1,1000014,Barbican Station,1,51.52031,-0.09753,tube
,HUBBKG,1000015,Barking,4,51.539413,0.080988,bus;national-rail;overground;tube
930GBRVS,4900BRVS0,1002271,Barking Riverside Pier,,51.51711,0.1169,river-bus
940GZZLUBKG,9400ZZLUBKG,1000015,Barking Underground Station,4,51.539321,0.081053,tube
940GZZLUBKE,4900ZZLUBKE1,1000016,Barkingside Station,4,51.58582,0.08836,tube
940GZZLUBSC,4900ZZLUBSC1,1000017,Barons Court,2,51.49037,-0.21355,tube
930GBSP,4900BSP,1002015,Battersea Power Station Pier.,,51.4835,-0.14409,river-bus
940GZZBPSUST,9400ZZBPSUST,1002195,Battersea Power Station Underground Station,1,51.479932,-0.142142,tube
940GZZLUBWT,4900ZZLUBWT1,1000018,Bayswater Station,1,51.51239,-0.18769,tube
940GZZCRBEK,4900ZZCRBEK,1000327,Beckenham Junction,,51.41059,-0.0259,tram
,HUBBEK,1001018,Beckenham Junction,,51.411175,-0.026016,bus;national-rail;tram
940GZZCRBRD,4900ZZCRBRD0,1002010,Beckenham Road,,51.40934,-0.04336,tram
940GZZDLBPK,4900ZZDLBPK1,1002012,Beckton Park Station,3,51.50927,0.05485,dlr
940GZZDLBEC,4900ZZDLBEC1,1002011,Beckton Station,3,51.51432,0.06064,dlr
940GZZLUBEC,4900ZZLUBEC1,1000019,Becontree Station,5,51.5404,0.12751,tube
940GZZCRBED,4900ZZCRBED0,1002013,Beddington Lane Tram Stop,,51.38914,-0.14175,tram
940GZZCRBGV,4900ZZCRBGV0,1002014,Belgrave Walk,,51.4011,-0.17774,tram
940GZZLUBZP,4900ZZLUBZP1,1000020,Belsize Park Station,2,51.55041,-0.16447,tube
940GZZLUBMY,4900ZZLUBMY1,1000021,Bermondsey Station,2,51.49814,-0.06363,tube
940GZZLUBLG,4900ZZLUBLG1,1000022,Bethnal Green Station,2,51.52732,-0.05527,tube
940GZZCRBIR,4900ZZCRBIR1,1001027,Birkbeck,,51.40374,-0.05529,tram
,HUBBIR,1001027,Birkbeck,,51.403893,-0.055733,bus;national-rail;tram
,HUBBFR,1000023,Blackfriars,1,51.509613,-0.104166,bus;national-rail;tube
930GBFR,4900BFR0,1002016,Blackfriars Pier.,,51.51082,-0.10196,river-bus
940GZZLUBKF,9400ZZLUBKF,1000023,Blackfriars Underground Station,1,51.511581,-0.103659,tube
940GZZCRBLA,4900ZZCRBLA0,1002017,Blackhorse Lane,,51.38462,-0.0708,tram
,HUBBHO,1000024,Blackhorse Road,3,51.586768,-0.041185,bus;overground;tube
940GZZLUBLR,9400ZZLUBLR,1000024,Blackhorse Road Underground Station,3,51.586919,-0.04115,tube
940GZZDLBLA,4900ZZDLBA2,1002018,Blackwall Station,2,51.50812,-0.00656,dlr
,HUBBDS,1000025,Bond Street,1,51.513362,-0.148795,elizabeth-line;tube
940GZZLUBND,4900ZZLUBND1,1000025,Bond Street Station,1,51.51452,-0.14914,tube
940GZZLUBOR,4900ZZLUBOR1,1000026,Borough Station,1,51.50123,-0.0934,tube
940GZZLUBOS,4900ZZLUBOS1,1000027,Boston Manor Station,4,51.49585,-0.32446,tube
940GZZLUBDS,4900ZZLUBDS1,1000028,Bounds Green Station,3+4,51.60693,-0.12456,tube
940GZZDLBOW,4900ZZDLBOW1,1002019,Bow Church Station,2,51.52781,-0.02094,dlr
940GZZLUBWR,4900ZZLUBWR1,1000029,Bow Road Station,2,51.52712,-0.02501,tube
,9400ZZLUWR1,,Bow Road Underground Station,,51.526956,-0.025026,tube
940GZZLUBTX,4900ZZLUBTX1,1000030,Brent Cross Station,3,51.57707,-0.21336,tube
,HUBBRX,1000031,Brixton,2,51.462961,-0.114531,bus;national-rail;tube
940GZZLUBXN,4900ZZLUBXN1,1000031,Brixton Station,2,51.46265,-0.11496,tube
940GZZLUBBB,4900ZZLUBBB1,1000032,Bromley By Bow Station,2/3,51.52473,-0.01144,tube
940GZZLUBKH,9400ZZLUBKH,1000033,Buckhurst Hill Underground Station,5,51.626605,0.046757,bus;tube
940GZZLUBTK,4900ZZLUBTK1,1000034,Burnt Oak Station,4,51.60259,-0.26398,tube
930GBSE,4900BSE0,1002020,Cadogan Pier.,,51.4833,-0.16653,river-bus
940GZZLUCAR,4900ZZLUCAR1,1000035,Caledonian Road Station,2,51.54857,-0.11812,tube
940GZZLUCTN,4900ZZLUCTN1,1000036,Camden Town Station,2,51.5393,-0.14249,tube
,HUBZCW,1000037,Canada Water,2,51.498053,-0.049667,bus;overground;tube
940GZZLUCWR,9400ZZLUCWR,1000037,Canada Water Underground Station,2,51.497945,-0.049722,tube
,9400ZZLUCWR1,,Canada Water Underground Station,,51.497954,-0.050269,tube
,HUBCAW,1000038,Canary Wharf,2,51.503734,-0.019121,bus;dlr;elizabeth-line;tube
940GZZDLCAN,4900ZZDLCAN1,1003008,Canary Wharf DLR Station,2,51.50542,-0.02073,dlr
930GCAW,4900CAW0,1002021,Canary Wharf Pier.,,51.50542,-0.02809,river-bus
940GZZLUCYF,4900ZZLUCYF1,1000038,Canary Wharf Station,2,51.50352,-0.02,tube
,HUBCAN,1000039,Canning Town,2/3,51.514029,0.008025,bus;dlr;tube
940GZZDLCGT,4900ZZDLCGT2,1000039,Canning Town Bus Station,2/3,51.51458,0.00814,dlr
940GZZLUCGT,9400ZZLUCGT,1000039,Canning Town Underground Station,2/3,51.513584,0.008322,tube
,HUBCST,1000040,Cannon Street,1,51.511451,-0.090357,bus;national-rail;tube
940GZZLUCST,4900ZZLUCST,1000040,Cannon Street Station,1,51.51127,-0.09028,tube
940GZZLUCPK,4900ZZLUCPK1,1000041,Canons Park Station,5,51.60756,-0.29444,tube
,HUBCFO,1000042,Chalfont & Latimer,8,51.668109,-0.560519,bus;national-rail;tube
940GZZLUCAL,0400ZZLUCAL0,1000042,Chalfont & Latimer Underground Station,8,51.667915,-0.560616,tube
940GZZLUCFM,4900ZZLUCFM1,1000043,Chalk Farm Station,2,51.54395,-0.15351,tube
940GZZLUCHL,4900ZZLUCHL1,1000044,Chancery Lane Station,1,51.51811,-0.1115,tube
,HUBCHX,1000045,Charing Cross,1,51.507819,-0.126137,bus;national-rail;tube
940GZZLUCHX,4900ZZLUCHX1,1000045,Charing Cross Station,1,51.50824,-0.12512,tube
930GCHP,4900CHP0,1002022,Chelsea Harbour Pier.,,51.47414,-0.18035,river-bus
940GZZLUCSM,0400ZZLUCSM0,1000046,Chesham Underground Station,9,51.705227,-0.611113,tube
940GZZLUCWL,9400ZZLUCWL,1000047,Chigwell Underground Station,4,51.617916,0.075041,bus;tube
940GZZLUCWP,4900ZZLUCWP1,1000048,Chiswick Park,3,51.49436,-0.26739,tube
,HUBCLW,1000049,Chorleywood,7,51.654249,-0.518312,bus;national-rail;tube
940GZZLUCYD,2100ZZLUCYD0,1000049,Chorleywood Underground Station,7,51.654292,-0.518319,tube
940GZZCRCHR,4900ZZCRCHR,1002023,Church Street,,51.37389,-0.1048,tram
940GZZLUCPC,4900ZZLUCPC1,1000050,Clapham Common Station,2,51.46181,-0.13847,tube
940GZZLUCPN,4900ZZLUCPN1,1000051,Clapham North Station,2,51.46518,-0.12955,tube
940GZZLUCPS,4900ZZLUCPS1,1000052,Clapham South Station,2+3,51.4529,-0.14767,tube
940GZZLUCKS,4900ZZLUCKS1,1000053,Cockfosters Station,5,51.65186,-0.14975,tube
940GZZLUCND,4900ZZLUCND1,1000054,Colindale Station,4,51.59533,-0.24992,tube
940GZZLUCSD,4900ZZLUCSD1,1000055,Colliers Wood Station,3,51.41805,-0.17819,tube
